artwork_id,auction_id,date_of_auction,y_true_log,y_pred_log,price_true,price_pred,pct_error
ARTW-000611,AUC-001963,2024-06-26,8.215276958936633,11.397041413751943,3696.0000000000023,89056.84788008199,23.095467500022167
ARTW-001748,AUC-003508,2024-09-24,8.343553835005117,11.45587990185114,4202.000000000004,94454.1031694924,21.478368198356097
ARTW-001491,AUC-001787,2023-01-05,8.390949464841986,11.452516262341248,4405.999999999996,94136.92398981968,20.365620515165627
ARTW-001425,AUC-000881,2024-05-15,8.391629968440892,11.434546540932159,4409.000000000001,92460.40016843569,19.97083242649936
ARTW-000827,AUC-002357,2023-05-03,8.460411177317253,11.45612247875391,4723.0,94477.0185751317,19.003603340065997
ARTW-001579,AUC-001941,2024-12-12,8.485083137498004,11.44153966020792,4840.999999999999,93109.25990066548,18.233476533911485
ARTW-001889,AUC-003185,2024-05-04,8.516793111394898,11.434743474631391,4997.000000000004,92478.61072708455,17.506826241161594
ARTW-000978,AUC-002828,2024-12-25,8.559102594493448,11.455731531898214,5213.000000000003,94440.08990988054,17.11626508917715
ARTW-000205,AUC-003923,2023-10-17,8.581669210600602,11.4424654416959,5331.999999999996,93195.49956900736,16.47852580063905
ARTW-001673,AUC-003261,2024-07-12,8.656433258507741,11.438658300034087,5745.999999999998,92841.36184675017,15.157563843847928
ARTW-000541,AUC-001561,2024-09-23,8.726643415598444,11.441524914566507,6163.9999999999945,93107.88694028383,14.105108199267343
ARTW-001025,AUC-001446,2023-12-20,8.755422380148488,11.442297258584416,6344.0,93179.82680971411,13.687866773284066
ARTW-001265,AUC-004301,2024-08-14,8.772145439245099,11.440695550536619,6450.999999999997,93030.69779196868,13.421128164930819
ARTW-001064,AUC-000686,2024-07-03,8.784162222270476,11.441118088733287,6528.999999999995,93070.01554382767,13.254865300019564
ARTW-001847,AUC-003161,2024-01-25,8.858652969548489,11.454572580800415,7033.999999999995,94330.70070566522,12.41067681342981
ARTW-000416,AUC-004447,2024-09-17,8.852378886511985,11.442286785141913,6990.000000000002,93178.85089079279,12.330307709698536
ARTW-001449,AUC-001905,2022-01-21,8.860641041773876,11.449830882429392,7048.000000000004,93884.46702293848,12.320724605978778
ARTW-001949,AUC-002997,2022-11-03,8.87346805533363,11.440301282330886,7139.0,92994.02558122235,12.026197728144327
ARTW-000291,AUC-004481,2024-09-12,8.885440911707585,11.430161779931982,7224.999999999996,92055.86656666994,11.741296410611762
ARTW-001733,AUC-003009,2023-08-02,8.914088348841334,11.437867162005585,7434.999999999995,92767.93977096498,11.477194320237395
ARTW-000046,AUC-002903,2023-08-25,9.009080614161977,11.43626399071507,8176.0,92619.33442181558,10.328196480163355
ARTW-002169,AUC-001353,2022-08-24,9.03097444300786,11.457145058761109,8356.999999999996,94573.67932129669,10.316702084635242
ARTW-001305,AUC-002214,2024-06-26,9.022443300849043,11.444114908772615,8286.0,93349.3509782462,10.26591250039177
ARTW-001019,AUC-003960,2024-11-17,9.092569836241674,11.45155045315399,8887.999999999995,94046.0486091636,9.58123859239015
ARTW-000901,AUC-001909,2022-12-13,9.089189170412032,11.447399410927344,8857.999999999998,93656.46448857836,9.573093755766356
ARTW-000671,AUC-000430,2023-06-02,9.152923101106232,11.453976574467694,9441.000000000002,94274.49516576098,8.985647194763368
ARTW-002214,AUC-001493,2023-12-01,9.154193211353181,11.433685288934685,9452.999999999998,92380.80188486194,8.772643804597688
ARTW-000326,AUC-002950,2022-07-07,9.179365567676752,11.436685815746896,9694.000000000004,92658.41223875213,8.558325999458646
ARTW-000763,AUC-000718,2024-10-21,9.139059169971219,11.389245795982998,9310.999999999998,88365.2860169348,8.490418431632994
